ProviderId,DataYear,FiscalYear,AHRQ_PSI_90_Score,CLABSI_Score,CAUTI_Score,SSI_Score
030043,2014,2015,2,1,9,NULL
030043,2015,2016,9,1,10,2
030043,2016,2016,9.0000,1,10,2
030055,2014,2015,10,2,5,NULL
030055,2015,2016,9,4,7,6
030055,2016,2016,9.0000,4,7,6
030061,2014,2015,2,6,2,NULL
030061,2015,2016,3,6,4,6
030061,2016,2016,3.0000,6,4,6
030062,2014,2015,7,5,3,NULL
030062,2015,2016,7,6,1,8
030062,2016,2016,7.0000,6,1,8
030064,2014,2015,9,9,8,NULL
030064,2015,2016,10,9,8,10
030064,2016,2016,10.0000,9,8,10
030065,2014,2015,6,7,7,NULL
030065,2015,2016,3,6,6,6
030065,2016,2016,3.0000,6,6,6
030068,2014,2015,4,Not Available,Not Available,NULL
030068,2015,2016,7,Not Available,Not Available,Not Available
030068,2016,2016,7.0000,N/A,N/A,N/A
030069,2014,2015,1,1,5,NULL
030069,2015,2016,3,1,3,1
030069,2016,2016,3.0000,1,3,1
030071,2014,2015,3,Not Available,Not Available,NULL
030071,2015,2016,2,Not Available,Not Available,Not Available
030071,2016,2016,2.0000,N/A,N/A,N/A
030073,2014,2015,4,Not Available,5,NULL
030073,2015,2016,3,Not Available,1,10
030073,2016,2016,3.0000,N/A,1,10
030074,2014,2015,7,10,10,NULL
030074,2015,2016,7,10,10,10
030074,2016,2016,7.0000,10,10,10
030077,2014,2015,7,Not Available,Not Available,NULL
030077,2015,2016,Not Available,Not Available,Not Available,Not Available
030077,2016,2016,N/A,N/A,N/A,N/A
030078,2014,2015,10,Not Available,Not Available,NULL
030078,2015,2016,10,Not Available,Not Available,5
030078,2016,2016,10.0000,N/A,N/A,5
030083,2014,2015,9,1,2,NULL
030083,2015,2016,8,1,2,9
030083,2016,2016,8.0000,1,2,9
030084,2014,2015,4,Not Available,1,NULL
030084,2015,2016,7,Not Available,1,Not Available
030084,2016,2016,7.0000,N/A,1,N/A
030085,2014,2015,8,7,8,NULL
030085,2015,2016,4,7,8,8
030085,2016,2016,4.0000,7,8,8
030087,2014,2015,5,7,8,NULL
030087,2015,2016,8,9,9,8
030087,2016,2016,8.0000,9,9,8
030088,2014,2015,6,8,7,NULL
030088,2015,2016,2,7,7,7
030088,2016,2016,2.0000,7,7,7
030089,2014,2015,4,5,7,NULL
030089,2015,2016,7,6,8,9
030089,2016,2016,7.0000,6,8,9
030092,2014,2015,10,7,3,NULL
030092,2015,2016,7,8,4,10
030092,2016,2016,7.0000,8,4,10
030093,2014,2015,2,3,4,NULL
030093,2015,2016,1,4,3,6
030093,2016,2016,1.0000,4,3,6
030094,2014,2015,8,7,4,NULL
030094,2015,2016,9,8,4,4
030094,2016,2016,9.0000,8,4,4
030101,2014,2015,3,5,3,NULL
030101,2015,2016,1,3,2,2
030101,2016,2016,1.0000,3,2,2
030103,2014,2015,2,3,4,NULL
030103,2015,2016,2,3,4,7
030103,2016,2016,2.0000,3,4,7
030105,2014,2015,1,4,7,NULL
030105,2015,2016,1,9,7,Not Available
030105,2016,2016,1.0000,9,7,N/A
030107,2014,2015,2,Not Available,Not Available,NULL
030107,2015,2016,3,Not Available,Not Available,Not Available
030107,2016,2016,3.0000,N/A,N/A,N/A
