ProviderId,DataYear,MSPB_1_Score,MeasureStartDate,MeasureEndDate
010103,2015,0.99,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010103,2016,0.99,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010104,2012,1.01,NULL,NULL
010104,2013,1.01,NULL,NULL
010104,2014,1.03,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010104,2015,1.01,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010104,2016,1.01,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010108,2012,1.05,NULL,NULL
010108,2013,0.99,NULL,NULL
010108,2014,1.00,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010108,2015,0.92,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010108,2016,0.92,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010109,2012,0.96,NULL,NULL
010109,2013,0.95,NULL,NULL
010109,2014,0.97,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010109,2015,0.89,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010109,2016,0.89,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010110,2012,1.12,NULL,NULL
010110,2013,0.99,NULL,NULL
010110,2014,1.00,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010110,2015,1.00,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010110,2016,1.00,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010112,2012,0.99,NULL,NULL
010112,2013,1.03,NULL,NULL
010112,2014,1.05,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010112,2015,0.98,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010112,2016,0.98,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010113,2012,0.98,NULL,NULL
010113,2013,0.97,NULL,NULL
010113,2014,0.99,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010113,2015,0.98,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010113,2016,0.98,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010114,2012,0.97,NULL,NULL
010114,2013,0.94,NULL,NULL
010114,2014,1.00,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010114,2015,0.98,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010114,2016,0.98,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010118,2012,1,NULL,NULL
