ProviderId,DataYear,BaseScore,ConsistencyScore
040080,2016,19,15
040084,2013,19,18
040084,2014,14,17
040084,2015,6,16
040084,2016,6,16
040085,2013,40,19
040085,2014,16,17
040085,2015,17,16
040085,2016,17,16
040088,2013,16,18
040088,2014,3,17
040088,2015,11,17
040088,2016,11,17
040114,2013,37,18
040114,2014,23,18
040114,2015,18,19
040114,2016,18,19
040118,2013,43,19
040118,2014,56,20
040118,2015,32,19
040118,2016,32,19
040119,2013,3,16
040119,2014,41,20
040119,2015,22,20
040119,2016,22,20
040134,2013,67,19
040134,2014,68,20
040134,2015,73,20
040134,2016,73,20
040137,2013,19,17
040137,2014,41,20
040137,2015,21,16
040137,2016,21,16
040147,2013,78,20
040147,2014,77,20
040147,2015,74,20
040147,2016,74,20
040152,2013,80,20
040152,2014,80,20
040153,2014,35,18
040153,2015,26,19
040153,2016,26,19
050002,2013,9,15
050002,2014,12,12
050002,2015,3,11
050002,2016,3,11
050006,2013,7,11
050006,2014,3,9
050006,2015,3,6
050006,2016,3,6
050007,2013,28,20
050007,2014,32,19
050007,2015,27,19
050007,2016,27,19
050008,2013,14,14
050008,2014,2,10
050008,2015,6,11
050008,2016,6,11
050009,2013,12,13
050009,2014,10,13
050009,2015,9,14
050009,2016,9,14
050013,2013,46,20
050013,2014,41,20
050013,2015,24,18
050013,2016,24,18
050014,2013,24,18
050014,2014,19,18
050014,2015,15,17
050014,2016,15,17
050016,2013,24,11
050017,2013,11,15
050017,2014,21,14
050017,2015,18,13
050017,2016,18,13
050018,2013,5,9
050018,2014,22,12
050018,2015,10,9
050018,2016,10,9
050022,2013,1,11
050022,2014,3,7
050022,2015,1,6
050022,2016,1,6
050024,2013,27,18
050024,2014,12,13
050025,2013,20,18
050026,2013,19,17
050026,2014,12,16
050026,2015,12,18
050026,2016,12,18
050028,2013,23,15
050028,2014,18,15
050030,2013,0,7
050030,2014,12,6
050030,2015,11,7
050030,2016,11,7
050036,2013,17,17
050036,2014,3,14
050036,2015,6,11
050036,2016,6,11
050038,2013,11,10
050038,2014,1,4
050038,2015,0,1
050038,2016,0,1
050039,2013,36,14
050039,2014,24,19
050039,2015,22,18
050039,2016,22,18
050040,2013,6,8
050040,2014,15,8
050040,2015,6,6
050040,2016,6,6
050042,2013,23,18
050042,2014,16,14
050042,2015,14,12
050042,2016,14,12
050043,2013,6,12
050043,2014,1,7
050043,2015,9,11
050043,2016,9,11
050045,2013,16,16
050045,2014,3,10
050045,2015,5,11
050045,2016,5,11
050046,2013,48,18
050047,2013,11,15
050047,2014,3,10
050047,2015,2,8
050047,2016,2,8
050054,2013,1,9
050054,2014,23,11
050054,2015,10,11
050054,2016,10,11
050055,2013,13,14
050055,2014,2,14
050055,2015,2,12
050055,2016,2,12
050056,2013,20,15
050056,2014,5,13
050056,2015,11,11
050056,2016,11,11
050057,2013,17,16
050057,2014,2,15
050057,2015,4,14
050057,2016,4,14
050058,2013,21,17
050058,2014,5,15
050058,2015,6,13
050058,2016,6,13
050060,2013,14,14
050060,2014,14,13
050060,2015,20,15
050060,2016,20,15
050063,2013,5,12
050063,2014,14,12
050063,2015,0,3
050063,2016,0,3
050067,2013,10,13
050067,2014,11,14
050067,2015,21,11
050067,2016,21,11
050069,2013,9,16
050069,2014,25,20
050069,2015,31,19
050069,2016,31,19
050070,2013,29,16
050070,2014,23,14
050070,2015,18,12
050070,2016,18,12
050071,2013,32,20
050071,2014,32,19
050071,2015,24,18
050071,2016,24,18
050072,2013,11,13
050072,2014,4,10
050072,2015,6,10
050072,2016,6,10
050073,2013,30,19
050073,2014,8,16
050073,2015,8,15
050073,2016,8,15
050075,2013,22,9
050075,2014,7,8
050075,2015,6,12
050075,2016,6,12
050076,2013,30,17
050076,2014,26,16
050076,2015,11,14
050076,2016,11,14
050077,2013,10,15
050077,2014,3,13
050077,2015,0,14
050077,2016,0,14
050078,2013,9,18
050078,2014,17,18
050078,2015,8,15
050078,2016,8,15
050079,2013,5,10
050079,2014,8,8
050082,2013,15,14
050082,2014,5,11
050082,2015,7,8
050082,2016,7,8
050084,2013,17,15
050084,2014,0,12
050084,2015,7,10
050084,2016,7,10
050089,2013,9,12
050089,2014,11,8
050089,2015,20,13
050089,2016,20,13
050090,2013,43,17
050090,2014,15,16
050090,2015,14,15
050090,2016,14,15
050091,2013,12,17
050091,2014,0,11
050091,2015,0,9
050091,2016,0,9
050093,2013,3,17
050093,2014,15,17
050093,2015,7,15
050093,2016,7,15
050099,2013,26,13
050099,2014,10,11
050099,2015,0,10
050099,2016,0,10
050100,2013,39,20
050100,2014,47,20
050100,2015,46,20
050100,2016,46,20
050101,2013,5,16
050101,2014,3,19
050101,2015,24,17
050101,2016,24,17
050102,2013,9,8
050102,2014,5,7
050102,2015,0,7
050102,2016,0,7
050103,2013,5,13
050103,2014,30,17
050103,2015,7,16
050103,2016,7,16
050104,2013,6,13
050104,2014,8,11
050104,2015,2,9
050104,2016,2,9
050107,2013,8,9
050107,2014,30,16
050107,2015,21,17
050107,2016,21,17
050108,2013,33,19
050108,2014,13,15
050108,2015,19,17
050108,2016,19,17
050110,2013,24,18
050110,2014,8,16
050111,2014,13,13
050112,2013,7,14
050112,2014,22,17
050112,2015,31,16
050112,2016,31,16
050113,2013,20,15
050113,2014,2,12
050113,2015,6,12
050113,2016,6,12
050115,2013,32,13
050115,2014,20,17
050115,2015,21,18
050115,2016,21,18
050116,2013,8,12
050116,2014,12,12
050116,2015,13,11
050116,2016,13,11
050118,2013,25,19
050118,2014,10,12
050118,2015,2,13
050118,2016,2,13
050121,2013,22,16
050121,2014,2,14
050121,2015,1,11
050121,2016,1,11
050122,2013,30,16
050122,2014,14,16
050122,2015,1,12
050122,2016,1,12
050124,2013,7,14
050124,2014,17,15
050125,2013,3,12
050125,2014,0,11
050125,2015,3,10
050125,2016,3,10
050126,2013,0,9
050126,2014,21,13
050126,2015,24,10
050126,2016,24,10
050127,2013,42,20
050127,2014,32,19
050127,2015,24,17
050127,2016,24,17
050128,2013,16,12
050128,2014,22,13
050128,2015,15,13
050128,2016,15,13
050129,2013,17,16
050129,2014,8,16
050129,2015,4,13
050129,2016,4,13
050131,2013,35,19
050131,2014,43,20
050131,2015,35,20
050131,2016,35,20
050132,2013,1,12
050132,2014,0,11
050132,2015,28,12
050132,2016,28,12
050133,2013,6,10
050133,2014,5,6
050133,2015,2,3
050133,2016,2,3
050135,2014,0,8
050135,2015,9,2
050135,2016,9,2
050136,2013,13,18
050136,2014,18,18
050136,2015,13,16
050136,2016,13,16
050137,2013,33,20
050137,2014,20,18
050137,2015,9,17
050137,2016,9,17
050138,2013,28,20
050138,2014,22,20
050138,2015,16,19
050138,2016,16,19
050139,2013,28,20
050139,2014,19,19
050139,2015,11,19
050139,2016,11,19
050140,2013,25,16
050140,2014,32,20
050145,2013,36,20
050145,2014,26,19
050145,2015,29,18
050145,2016,29,18
050149,2013,2,12
050149,2014,2,11
050149,2015,2,7
050149,2016,2,7
050150,2013,23,18
050150,2014,9,15
050150,2015,4,9
050150,2016,4,9
050152,2013,3,13
050152,2014,9,10
050152,2015,10,9
050152,2016,10,9
050153,2013,5,13
050153,2014,25,16
050153,2015,19,15
050153,2016,19,15
050158,2014,Not Available,Not Available
050158,2015,0,10
050158,2016,0,10
050159,2013,16,15
050159,2014,1,10
050167,2013,19,11
050167,2014,5,7
050167,2015,0,8
050167,2016,0,8
050168,2013,20,17
050168,2014,15,15
050168,2015,15,14
050168,2016,15,14
050169,2013,28,19
050169,2014,31,20
050169,2015,29,18
050169,2016,29,18
050174,2013,17,16
050174,2014,2,12
050174,2015,2,12
050174,2016,2,12
050179,2013,4,14
050179,2014,0,9
050179,2015,3,8
050179,2016,3,8
050180,2013,19,18
050180,2014,16,17
050180,2015,25,18
050180,2016,25,18
050189,2013,11,14
050189,2014,37,18
050189,2015,30,18
050189,2016,30,18
050191,2013,7,15
050191,2014,13,16
050191,2015,6,12
050191,2016,6,12
050192,2013,9,16
050192,2014,8,16
050192,2015,3,8
050192,2016,3,8
050194,2013,35,20
050194,2014,4,15
050194,2015,5,13
050194,2016,5,13
050195,2013,27,14
050195,2014,10,17
050195,2015,8,17
050195,2016,8,17
050197,2013,22,16
050197,2014,4,11
050197,2015,18,14
050197,2016,18,14
050204,2013,18,15
050204,2014,36,19
050204,2015,17,15
050204,2016,17,15
050205,2014,Not Available,Not Available
050205,2015,Not Available,Not Available
050205,2016,Not Available,Not Available
050211,2013,1,8
050211,2014,7,4
050211,2015,3,7
050211,2016,3,7
050222,2013,24,19
050222,2014,23,18
050222,2015,15,18
050222,2016,15,18
050224,2013,29,17
050224,2014,28,18
050224,2015,26,19
050224,2016,26,19
050225,2013,13,16
050225,2014,28,14
050225,2015,18,14
050225,2016,18,14
050226,2013,6,14
050226,2014,14,13
050226,2015,8,12
050226,2016,8,12
050228,2013,6,10
050228,2014,1,2
050228,2015,5,7
050228,2016,5,7
050230,2013,27,12
050230,2014,4,11
050230,2015,0,8
050230,2016,0,8
050231,2013,39,19
050231,2014,0,11
050231,2015,11,13
050231,2016,11,13
050232,2013,22,13
050232,2014,30,14
050232,2015,22,12
050232,2016,22,12
050234,2013,72,20
050234,2014,67,20
050234,2015,60,20
050234,2016,60,20
050235,2013,27,18
050235,2014,15,19
050235,2015,7,17
050235,2016,7,17
050236,2013,21,18
050236,2014,7,17
050236,2015,4,14
050236,2016,4,14
050238,2013,19,15
050238,2014,13,16
050238,2015,16,14
050238,2016,16,14
050239,2013,3,11
050239,2014,31,18
050239,2015,17,16
050239,2016,17,16
050242,2013,7,10
050242,2014,2,5
050242,2015,3,6
050242,2016,3,6
050243,2013,3,16
050243,2014,13,14
050245,2013,0,10
050245,2014,19,15
050245,2015,9,13
050245,2016,9,13
050248,2013,16,16
050248,2014,18,14
050248,2015,6,10
050248,2016,6,10
050254,2013,19,13
050254,2014,35,17
050254,2015,12,18
050254,2016,12,18
050257,2014,15,14
050257,2015,9,14
050257,2016,9,14
050261,2013,45,18
050261,2014,12,16
050261,2015,8,13
050261,2016,8,13
050262,2013,14,18
050262,2014,10,16
050262,2015,32,20
050262,2016,32,20
050272,2013,21,18
050272,2014,35,20
050272,2015,29,20
050272,2016,29,20
050276,2013,19,6
050276,2014,2,3
050276,2015,7,5
050276,2016,7,5
050277,2013,20,15
050278,2013,22,17
050278,2014,15,14
050278,2015,8,15
050278,2016,8,15
050279,2013,20,15
050279,2014,20,13
050279,2015,5,12
050279,2016,5,12
050280,2013,15,14
050280,2014,3,10
050280,2015,11,7
050280,2016,11,7
050281,2013,3,9
050281,2014,18,10
050281,2015,24,12
050281,2016,24,12
050283,2013,28,16
050283,2014,26,16
050283,2015,23,15
050283,2016,23,15
050289,2013,14,15
050289,2014,10,15
050289,2015,24,19
050289,2016,24,19
050290,2013,16,14
050290,2014,8,11
050290,2015,7,12
050290,2016,7,12
050291,2013,10,9
050291,2014,27,11
050291,2015,1,8
050291,2016,1,8
050292,2013,2,9
050292,2014,5,6
050292,2015,1,4
050292,2016,1,4
050295,2013,0,14
050295,2014,0,9
050295,2015,4,10
050295,2016,4,10
050296,2013,4,13
050296,2014,14,16
050296,2015,8,15
050296,2016,8,15
050298,2013,20,16
050298,2014,16,17
050298,2015,10,18
050298,2016,10,18
050300,2013,0,8
050300,2014,10,7
050300,2015,14,6
050300,2016,14,6
050301,2013,23,14
050301,2014,21,13
050301,2015,3,8
050301,2016,3,8
050305,2013,3,11
050305,2014,0,6
050305,2015,0,6
050305,2016,0,6
050308,2013,12,17
050308,2014,18,19
050308,2015,17,18
050308,2016,17,18
050309,2013,24,15
050309,2014,17,18
050309,2015,17,18
050309,2016,17,18
050313,2013,41,20
050313,2014,29,20
050313,2015,28,19
050313,2016,28,19
050315,2013,8,4
050315,2014,18,8
050315,2015,4,0
050315,2016,4,0
050320,2013,7,9
050320,2014,2,2
050320,2015,4,1
050320,2016,4,1
050324,2013,32,18
050324,2014,25,19
050324,2015,28,18
050324,2016,28,18
050327,2013,22,18
050327,2014,6,13
050327,2015,8,11
050327,2016,8,11
050329,2013,5,12
050329,2014,13,7
050329,2015,0,7
050329,2016,0,7
050334,2013,3,9
050334,2014,19,11
050334,2015,17,14
050334,2016,17,14
050335,2013,41,17
050335,2014,10,16
050335,2015,10,15
050335,2016,10,15
050336,2013,23,19
050336,2014,11,16
050336,2015,2,11
050336,2016,2,11
050342,2013,12,12
050342,2014,15,13
050342,2015,6,15
050342,2016,6,15
050348,2013,17,17
050348,2014,26,19
050348,2015,18,18
050348,2016,18,18
050350,2013,17,12
050350,2014,4,9
050350,2015,6,12
050350,2016,6,12
050351,2013,18,16
050351,2014,21,16
050351,2015,10,16
050351,2016,10,16
050352,2013,42,20
050352,2014,15,18
050352,2015,23,19
050352,2016,23,19
050353,2013,10,15
050353,2014,29,17
050353,2015,6,15
050353,2016,6,15
050357,2013,35,19
050357,2014,47,20
050357,2015,51,20
050357,2016,51,20
050359,2013,0,8
050359,2014,7,10
050359,2015,2,9
050359,2016,2,9
050360,2013,7,10
050360,2014,3,7
050360,2015,5,5
050360,2016,5,5
050367,2013,18,18
050367,2014,19,15
050367,2015,15,16
050367,2016,15,16
050373,2013,17,13
050373,2014,8,14
050373,2015,2,10
050373,2016,2,10
050376,2013,6,7
050376,2014,5,7
050376,2015,1,1
050376,2016,1,1
050378,2013,14,17
050378,2014,7,11
050380,2013,5,13
050380,2014,1,11
050380,2015,9,11
050380,2016,9,11
050382,2013,15,14
050382,2014,10,16
050382,2015,6,14
050382,2016,6,14
050385,2013,45,20
050390,2013,8,1
050390,2014,8,3
050390,2015,3,3
050390,2016,3,3
050393,2013,11,16
050393,2014,2,12
050393,2015,5,9
050393,2016,5,9
050394,2013,13,13
050394,2014,30,14
050394,2015,3,10
050394,2016,3,10
