ProviderId,DataYear,PAYM_30_AMI_Payment,PAYM_30_HF_Payment,PAYM_30_PN_Payment,PAYM_30_AMI_LowerEstimate,PAYM_30_HF_LowerEstimate,PAYM_30_PN_LowerEstimate,PAYM_30_AMI_HigherEstimate,PAYM_30_HF_HigherEstimate,PAYM_30_PN_HigherEstimate,PAYM_30_AMI_Denominator,PAYM_30_HF_Denominator,PAYM_30_PN_Denominator,PAYM_30_AMI_NationalComparisonCategory,PAYM_30_HF_NationalComparisonCategory,PAYM_30_PN_NationalComparisonCategory
450306,2015,Not Available,Not Available,"$11,738",Not Available,Not Available,"$9,693",Not Available,Not Available,"$13,793",Not Available,Not Available,34,Number of Cases Too Small,Number of Cases Too Small,Less than the National Average Payment
450324,2016,"$25,303","$17,423","$16,638","$23,521","$16,324","$15,629","$27,162","$18,608","$17,625",334,420,418,Greater than the National Average Payment,Greater than the National Average Payment,Greater than the National Average Payment
450330,2016,"$23,657","$16,724","$16,816","$20,975","$15,189","$15,494","$26,823","$18,413","$18,238",71,153,195,No Different than the National Average Payment,No Different than the National Average Payment,Greater than the National Average Payment
450340,2014,22844,NULL,NULL,20293,NULL,NULL,25517,NULL,NULL,99,NULL,NULL,No Different than the National Average Payment,NULL,NULL
450347,2016,"$23,890","$15,288","$14,450","$20,787","$13,839","$13,216","$27,399","$16,887","$15,703",36,142,201,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
450348,2015,Not Available,"$15,909","$11,437",Not Available,"$13,728","$10,226",Not Available,"$18,593","$12,700",Not Available,40,128,Number of Cases Too Small,No Different than the National Average Payment,Less than the National Average Payment
450351,2016,"$21,511","$15,624","$14,763","$18,763","$13,947","$13,301","$24,603","$17,555","$16,194",33,98,146,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
450352,2014,22196,NULL,NULL,19447,NULL,NULL,25485,NULL,NULL,47,NULL,NULL,No Different than the National Average Payment,NULL,NULL
450358,2015,"$23,751","$17,803","$15,573","$22,238","$17,058","$14,909","$25,298","$18,615","$16,270",471,995,844,Greater than the National Average Payment,Greater than the National Average Payment,Greater than the National Average Payment
450372,2015,"$21,714","$15,044","$14,019","$18,708","$13,761","$12,939","$25,293","$16,386","$15,075",35,202,234,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
450379,2015,Not Available,"$19,032","$16,375",Not Available,"$16,532","$14,650",Not Available,"$21,887","$18,168",Not Available,69,81,Number of Cases Too Small,Greater than the National Average Payment,Greater than the National Average Payment
450388,2015,"$24,213","$17,880","$15,281","$23,165","$17,319","$14,783","$25,270","$18,460","$15,823","1,172","1,831","1,350",Greater than the National Average Payment,Greater than the National Average Payment,Greater than the National Average Payment
450389,2014,20063,NULL,NULL,18094,NULL,NULL,22210,NULL,NULL,113,NULL,NULL,No Different than the National Average Payment,NULL,NULL
450395,2015,Not Available,"$15,036","$15,471",Not Available,"$13,304","$14,138",Not Available,"$16,940","$16,840",Not Available,98,187,Number of Cases Too Small,No Different than the National Average Payment,No Different than the National Average Payment
450399,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
450411,2016,Not Available,"$14,617","$15,538",Not Available,"$12,869","$13,604",Not Available,"$16,641","$17,439",Not Available,65,76,Number of Cases Too Small,No Different than the National Average Payment,No Different than the National Average Payment
450419,2014,22548,NULL,NULL,19552,NULL,NULL,26232,NULL,NULL,30,NULL,NULL,No Different than the National Average Payment,NULL,NULL
450422,2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
450424,2015,"$24,998","$16,937","$16,442","$22,731","$15,744","$15,368","$27,455","$18,211","$17,467",205,332,359,Greater than the National Average Payment,Greater than the National Average Payment,Greater than the National Average Payment
450431,2016,"$25,256","$17,557","$14,576","$23,535","$16,712","$13,747","$27,105","$18,453","$15,484",359,788,428,Greater than the National Average Payment,Greater than the National Average Payment,No Different than the National Average Payment
450447,2015,"$21,162","$13,590","$13,647","$18,292","$12,343","$12,220","$24,464","$14,972","$15,060",37,170,136,No Different than the National Average Payment,Less than the National Average Payment,No Different than the National Average Payment
450451,2016,Not Available,"$16,072","$12,993",Not Available,"$13,842","$11,631",Not Available,"$18,557","$14,396",Not Available,39,115,Number of Cases Too Small,No Different than the National Average Payment,Less than the National Average Payment
450460,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
450565,2015,Not Available,"$13,278","$13,469",Not Available,"$11,634","$12,038",Not Available,"$15,196","$14,854",Not Available,76,124,Number of Cases Too Small,Less than the National Average Payment,No Different than the National Average Payment
450571,2014,21037,NULL,NULL,19551,NULL,NULL,22562,NULL,NULL,297,NULL,NULL,No Different than the National Average Payment,NULL,NULL
450573,2015,Not Available,"$15,632","$13,104",Not Available,"$13,805","$11,913",Not Available,"$17,714","$14,311",Not Available,83,157,Number of Cases Too Small,No Different than the National Average Payment,No Different than the National Average Payment
450578,2016,Not Available,Not Available,"$12,573",Not Available,Not Available,"$10,594",Not Available,Not Available,"$14,783",Not Available,Not Available,36,Number of Cases Too Small,Number of Cases Too Small,Less than the National Average Payment
450580,2014,19442,NULL,NULL,16702,NULL,NULL,22561,NULL,NULL,28,NULL,NULL,No Different than the National Average Payment,NULL,NULL
450584,2015,Not Available,"$16,000","$13,227",Not Available,"$13,516","$11,551",Not Available,"$18,912","$14,918",Not Available,27,71,Number of Cases Too Small,No Different than the National Average Payment,No Different than the National Average Payment
450587,2016,Not Available,"$15,055","$14,097",Not Available,"$13,499","$13,114",Not Available,"$16,736","$15,159",Not Available,117,300,Number of Cases Too Small,No Different than the National Average Payment,No Different than the National Average Payment
450597,2015,Not Available,"$14,219","$15,689",Not Available,"$12,831","$14,253",Not Available,"$15,793","$17,196",Not Available,137,152,Number of Cases Too Small,No Different than the National Average Payment,No Different than the National Average Payment
450604,2015,Not Available,"$14,600","$12,516",Not Available,"$13,146","$11,356",Not Available,"$16,223","$13,714",Not Available,145,165,Number of Cases Too Small,No Different than the National Average Payment,Less than the National Average Payment
